"KEY---------------------------","TABLES_SUB_TYPE","APPLICATIONS_NK1","ABBR","NAME","SEQ","TYPE","REQ_SUB_TYPES","GROUP_NAME","STORAGE_NK1","STORAGE_NK2","TAB_CLUS_NK1","TAB_CLUS_NK2","ACT_NUM_RECS","HOA_NUM_RECS","EST_ACT_ROWS","EST_HOA_ROWS","DESCRIPTION","EOL,"
"TABLES------------------------","tab","CLUE","USR","users",1,"NON","","SYSTEM","","","","",,,200,,"Registered Users","EOL,"
"TABLES------------------------","tab","CLUE","CTYPE","card_types",2,"NON","","SYSTEM","","","","",,,700,,"Players for each User's Game","EOL,"
"TABLES------------------------","tab","CLUE","GAM","games",3,"NON","","SYSTEM","","","","",,,500,,"Individual User's Games","EOL,"
"TABLES------------------------","tab","CLUE","PLY","players",11,"NON","","MAIN","","","","",,,2000,,"Players for each User's Game","EOL,"
"TABLES------------------------","tab","CLUE","CRD","cards",12,"NON","","MAIN","","","","",,,10500,,"Cards for each User's Game","EOL,"
"TABLES------------------------","clus","CLUE","ACT","actions",13,"NON","X","MAIN","","","CLUE","act",1,,10000,,"Player's Suggestions for each User's Game","EOL,"
"TABLES------------------------","clus","CLUE","ACTC","action_cards",14,"NON","","MAIN","","","CLUE","act",4,,40000,,"Player's Card Suggestions for each User's Game","EOL,"
"TABLES------------------------","tab","CLUE","PCA","pcard_actions",15,"NON","","MAIN","","","","",,,42000,,"Player's Cards for each User's Game","EOL,"
